variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
s_star[10],6.261760592438966e-5,1.08991165e-5,0.0023525458882550183,0.0023896244846271,-0.003752820325,0.0039820260199999995,1.000804536323781,2269.1937272570067,2837.7428555150072
s_star[11],-6.820958127553497e-5,-5.78970455e-5,0.0022664852400531323,0.0022600457138699996,-0.0038249152349999994,0.0036471935850000002,1.0000655310027737,3064.567710718207,2861.7214884022655
s_star[12],1.4362606432183288e-4,3.6130157000000004e-5,0.0028567782565068213,0.0028715529794699998,-0.00443336632,0.004962747009999999,1.0008132494811885,1349.6876844058688,2056.149036462407
s_star[13],1.6071245391972497e-4,1.3347281499999998e-4,0.0038901481201991167,0.0038749596614609996,-0.006164726644999999,0.00675026615,1.0008399297495048,1532.6468704727629,2278.0701668853003
s_star[14],-6.331064779862906e-5,-6.46270645e-5,0.002260315296930549,0.0022591639160223,-0.003731204115,0.003730434214999999,1.0001713338243339,1806.0567934153198,2705.2858216569034
s_star[15],1.1621132293112503e-4,5.83746455e-5,0.0022398479337597966,0.0022638887680017,-0.00347250252,0.0037679851099999993,1.000162430258723,1700.2128766407873,2592.0545685773413
s_star[16],-8.323120480514248e-5,-1.5619084e-4,0.0027973562691532604,0.00281147039208,-0.0045983756749999995,0.004606867414999999,1.0000814363508534,2311.726494319723,2720.5336587737165
s_star[17],1.473507505890992e-5,3.0769899e-5,0.0019023993062544117,0.0018815280745799999,-0.003101262215,0.00314830841,1.0012511327370373,2406.609496043061,3151.301661769838
b[1],-0.08712982145309099,-0.07713827549999999,0.12452386598057325,0.119981198946,-0.299076412,0.10099229949999998,1.0017288534296651,3368.1489558947537,2853.6978758028213
b[2],-0.19642058699713205,-0.18831503500000002,0.13232082516455396,0.1387152991875,-0.425045374,0.002634715249999985,1.0005991500828098,2113.848719299733,2802.3802447710405
b[3],0.021149566734194998,0.0168944715,0.11295526764344103,0.10221945376019999,-0.16290525300000003,0.21342730449999994,1.0001738938149884,4207.60317094685,3358.9787060048284
b[4],-0.010312004204988246,-0.009318865150000001,0.12254416998889477,0.11495624848910999,-0.21173155149999998,0.19034182999999996,1.0001615447569825,4186.049670644747,3303.1826506852217
b[5],0.04041216853257625,0.032425273000000004,0.10981090504915686,0.1015752573885,-0.132669361,0.23280342349999986,1.0007396481443478,3426.937028299609,2646.2077463934447
