dataset,margin_type,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
hnir62,direct_age_by_region,20-24,FRANCISCO MORAZAN,0.19725701695440462,0.02964455244107678,8.787994894317513e-4,0.1391547618320852,0.25535927207672404,0.1502838930588159,219,380.0938549999999
hnir62,direct_age_by_region,<19,FRANCISCO MORAZAN,0.3923541751259674,0.0714952369405637,0.005111568905187345,0.2522260856563049,0.5324822645956299,0.18222117024142734,60,97.89274699999999
hnir62,direct_age_by_region,35+,FRANCISCO MORAZAN,0.17543031967309136,0.02140404374515895,4.5813308864467797e-4,0.13347916480906002,0.2173814745371227,0.12200880546216117,489,855.3651459999974
hnir62,direct_age_by_region,25-34,GRACIAS A DIOS,0.2910609436277329,0.03762896679669402,0.0014159391421867012,0.21730952393075909,0.3648123633247067,0.12928208892506546,146,44.68516399999999
hnir62,direct_age_by_region,20-24,GRACIAS A DIOS,0.442550847157358,0.05505928490932571,0.003031524854726302,0.3346366317205499,0.550465062594166,0.12441346630107852,98,30.70692800000001
hnir62,direct_age_by_region,<19,GRACIAS A DIOS,0.3587511086007832,0.09506374009915348,0.009037114681639402,0.17242960177076627,0.5450726154308001,0.26498521626853017,37,11.842630999999997
hnir62,direct_age_by_region,35+,GRACIAS A DIOS,0.33727360986540567,0.043664418407848814,0.0019065814348956864,0.25169292238013424,0.4228542973506771,0.12946289638633093,117,35.918968000000014
hnir62,direct_age_by_region,25-34,INTIBUCA,0.245928591174486,0.03969300483148298,0.0015755346325521309,0.16813173126660505,0.32372545108236694,0.16140052948671121,252,129.35768000000007
hnir62,direct_age_by_region,20-24,INTIBUCA,0.28211522286352564,0.05176221178345863,0.0026793265687156233,0.18066315200781197,0.3835672937192393,0.1834789745057423,125,58.94593999999997
hnir62,direct_age_by_region,<19,INTIBUCA,0.3468796480137362,0.07635258034819224,0.005829716525827152,0.19723134040457876,0.49652795562289365,0.22011259751154016,40,17.875242999999994
hnir62,direct_age_by_region,35+,INTIBUCA,0.3412935095784138,0.03995679916457813,0.0015965457994784316,0.2629796222783406,0.419607396878487,0.11707459428084396,218,104.44312300000011
hnir62,direct_age_by_region,25-34,ISLAS DE LA BAHIA,0.14783023396522227,0.02910252638860183,8.46957042199266e-4,0.09079033038443618,0.20487013754600836,0.1968645087543346,146,43.19509499999998
hnir62,direct_age_by_region,20-24,ISLAS DE LA BAHIA,0.2198214750174816,0.06712855743196204,0.004506243222896226,0.08825192011670746,0.3513910299182557,0.3053776134775893,75,23.817954999999998
hnir62,direct_age_by_region,<19,ISLAS DE LA BAHIA,0.5193238828953062,0.1042175433210118,0.01086129633586697,0.3150612514288803,0.723586514361732,0.20067928079868738,15,5.073204000000001
hnir62,direct_age_by_region,35+,ISLAS DE LA BAHIA,0.17646651365477795,0.04861233860488276,0.002363159464635775,0.08118808078494168,0.27174494652461423,0.275476279312591,92,27.198757999999994
hnir62,direct_age_by_region,25-34,LA PAZ,0.26310284531159983,0.02649871672521411,7.02181988083142e-4,0.21116631489365104,0.31503937572954865,0.10071619215607859,268,119.67427399999995
hnir62,direct_age_by_region,20-24,LA PAZ,0.27288402577585547,0.04607203536255926,0.0021226324424489106,0.18258449577078356,0.36318355578092737,0.16883375724016333,151,69.662557
hnir62,direct_age_by_region,<19,LA PAZ,0.29316185348821655,0.05862304445181411,0.0034366613407993737,0.17826279769857029,0.4080609092778628,0.19996818738277772,53,24.044264
hnir62,direct_age_by_region,35+,LA PAZ,0.27044453331389584,0.03256140750711489,0.001060245258844398,0.20662534731401855,0.33426371931377313,0.12039957734816538,224,96.12852099999985
hnir62,direct_age_by_region,25-34,LEMPIRA,0.3546322106783059,0.04112870714199911,0.0016915705511723284,0.2740214259492924,0.4352429954073194,0.11597566691229803,237,156.37270200000012
hnir62,direct_age_by_region,20-24,LEMPIRA,0.33283099297114327,0.05045366266181684,0.002545572075992411,0.23394363126584902,0.4317183546764375,0.1515894364627011,127,84.94240800000003
hnir62,direct_age_by_region,<19,LEMPIRA,0.3868776233976813,0.07093865260010122,0.005032292432717848,0.24784041918968427,0.5259148276056783,0.1833619943616682,67,46.949849000000015
hnir62,direct_age_by_region,35+,LEMPIRA,0.4099544443357743,0.04041258298053821,0.0016331768631588865,0.3307472371716831,0.48916165149986557,0.09857822872494137,241,160.70076300000017
hnir62,direct_age_by_region,25-34,OCOTEPEQUE,0.20113423516002046,0.03016405170598001,9.098700153210356e-4,0.1420137801884957,0.26025469013154523,0.1499697536920146,265,101.59956599999991
hnir62,direct_age_by_region,20-24,OCOTEPEQUE,0.20101984221634048,0.0373540652501912,0.0013953261907155418,0.12780721964980657,0.2742324647828744,0.1858227766888316,122,43.54810900000002
hnir62,direct_age_by_region,<19,OCOTEPEQUE,0.29030374057577385,0.07978979278570204,0.00636641103278527,0.13391862038188407,0.44668886076966363,0.27484934443989933,48,18.883910999999994
hnir62,direct_age_by_region,35+,OCOTEPEQUE,0.2293770771416568,0.03364798102933888,0.0011321866273507491,0.16342824617166565,0.29532590811164794,0.14669286682277688,232,84.94636099999991
hnir62,direct_age_by_region,25-34,OLANCHO,0.21012110332495956,0.02643147252836089,6.986227400174965e-4,0.15831636911101238,0.26192583753890675,0.12579161307507367,251,249.7395510000001
hnir62,direct_age_by_region,20-24,OLANCHO,0.20843566699379742,0.03141747369442798,9.870576533400743e-4,0.14685855006748405,0.2700127839201108,0.15072983500162138,172,171.00596800000008
hnir62,direct_age_by_region,<19,OLANCHO,0.32688086232359437,0.05834973054639268,0.0034046910548366305,0.2125174919450481,0.44124423270214064,0.17850457849266685,64,58.90187899999995
hnir62,direct_age_by_region,35+,OLANCHO,0.2800025598209571,0.03182726682356474,0.0010129749134583845,0.21762226312042374,0.34238285652149053,0.1136677709086522,256,246.67350199999998
hnir62,direct_age_by_region,25-34,SANTA BARBARA,0.25649583779296636,0.02708885787889231,7.33806221182826e-4,0.20340265196801338,0.30958902361791935,0.10561129612074797,273,284.58711700000026
hnir62,direct_age_by_region,20-24,SANTA BARBARA,0.26722977677244997,0.03514231415639399,0.0012349822442666893,0.19835210669252568,0.33610744685237426,0.13150598178405162,133,137.96401899999987
hnir62,direct_age_by_region,<19,SANTA BARBARA,0.4266976341247987,0.09046903974044648,0.008184647151558484,0.2493815745176008,0.6040136937319966,0.21202142338100352,49,53.09143100000001
hnir62,direct_age_by_region,35+,SANTA BARBARA,0.23329396146128084,0.02955889518520452,8.73728284569907e-4,0.17535959147548558,0.2912283314470761,0.126702358689684,218,217.54786400000015
hnir62,direct_age_by_region,25-34,VALLE,0.24194170398671458,0.03137269080771658,9.842457285165846e-4,0.18045235990547928,0.30343104806794985,0.12967045486891052,229,98.15189200000009
hnir62,direct_age_by_region,20-24,VALLE,0.21835984405613285,0.03398049393462929,0.0011546739680413781,0.1517592997673777,0.284960388344888,0.1556169545802298,149,64.29800800000008
hnir62,direct_age_by_region,<19,VALLE,0.26813843539045207,0.07712066724124414,0.005947597315734707,0.11698470513391565,0.41929216564698846,0.28761511615798097,43,20.175678999999995
hnir62,direct_age_by_region,35+,VALLE,0.2353755616014599,0.024540216404626093,6.022222211858796e-4,0.18727762127557374,0.28347350192734605,0.10425983155455118,217,92.3666580000001
hnir62,direct_age_by_region,25-34,YORO,0.19576935199293413,0.03107510340926068,9.656620518962447e-4,0.13486326849492536,0.2566754354909429,0.15873323936007241,256,330.9869309999999
hnir62,direct_age_by_region,20-24,YORO,0.260068733759692,0.04115220476501595,0.0016935039570218015,0.17941189453584314,0.3407255729835408,0.15823587930043642,156,196.6838429999998
hnir62,direct_age_by_region,<19,YORO,0.2638235326129425,0.06606035830196302,0.004363970938983735,0.13434760953528346,0.39329945569060154,0.25039600390341477,58,74.69677100000003
hnir62,direct_age_by_region,35+,YORO,0.24525030399656653,0.02951301377151847,8.710179818778388e-4,0.1874058599291557,0.30309474806397735,0.12033833716239409,264,343.64615100000003
hnir72,direct_age_by_region,25-34,ATLANTIDA,0.2102716452002229,0.030459121051155735,9.277580552089584e-4,0.1505728649392119,0.2699704254612339,0.14485605523346828,193,1.9041878998430145e-4
hnir72,direct_age_by_region,20-24,ATLANTIDA,0.13599191750655634,0.032258553537974036,0.0010406142763623371,0.07276631437877011,0.19921752063434256,0.2372093439775111,102,1.0013468818011776e-4
hnir72,direct_age_by_region,<19,ATLANTIDA,0.24418906612727706,0.09561342310812702,0.009141926678453718,0.05679020039675839,0.43158793185779576,0.3915548907431059,30,3.493276984644097e-5
hnir72,direct_age_by_region,35+,ATLANTIDA,0.1638230338783734,0.029649331650009346,8.790828672922459e-4,0.10571141167867157,0.22193465607807525,0.18098390042038778,184,1.8095602784452472e-4
hnir72,direct_age_by_region,25-34,CHOLUTECA,0.10808448660495348,0.02007215639027998,4.028914621558574e-4,0.06874378298794924,0.1474251902219577,0.18570802360974603,219,2.0540437357012168e-4
hnir72,direct_age_by_region,20-24,CHOLUTECA,0.1642456191367693,0.03160758858953964,9.990396564455964e-4,0.10229588386311247,0.22619535441042612,0.19244098415324928,123,1.1962532627337023e-4
hnir72,direct_age_by_region,<19,CHOLUTECA,0.2941196807621958,0.06523228642478296,0.004255251192204923,0.16626674874042016,0.42197261278397147,0.2217882402691887,40,3.9205003346025756e-5
hnir72,direct_age_by_region,35+,CHOLUTECA,0.19511948974442392,0.024288026100238023,5.899082118458435e-4,0.1475158333323886,0.24272314615645924,0.12447770405740373,260,2.45208984960412e-4
hnir72,direct_age_by_region,25-34,COLON,0.186530998602511,0.03335305868498017,0.001112426523643731,0.12116020480569903,0.251901792399323,0.17880705585056136,144,1.0071407028799753e-4
hnir72,direct_age_by_region,20-24,COLON,0.285569676054481,0.041938130060697076,0.0017588067529879438,0.2033724515565582,0.36776690055240385,0.14685778490254026,132,1.0326384987997455e-4
hnir72,direct_age_by_region,<19,COLON,0.12497005426963823,0.05166479648680332,0.0026692511960228044,0.023708913886912236,0.22623119465236421,0.4134174125853397,40,3.257805311599622e-5
hnir72,direct_age_by_region,35+,COLON,0.1445825059796132,0.023406344051904504,5.478569418761254e-4,0.09870691462812706,0.19045809733109934,0.16188918495578508,211,1.58106297822566e-4
hnir72,direct_age_by_region,25-34,COMAYAGUA,0.22066249258546938,0.027978508516510923,7.827969388084743e-4,0.16582562355196082,0.2754993616189779,0.12679322248512165,213,2.2783221414738773e-4
hnir72,direct_age_by_region,20-24,COMAYAGUA,0.24185307644181173,0.0460925199194538,0.0021245203925252458,0.15151339744298725,0.3321927554406362,0.19058066408571553,124,1.3477234634247905e-4
hnir72,direct_age_by_region,<19,COMAYAGUA,0.14516876929112046,0.0599926813986383,0.003599121821398522,0.0275852744138034,0.26275226416843755,0.4132616243258864,33,3.614352345235126e-5
