country,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
Colombia,Young Adult,Casanare,0.13239906942807986,0.013445536172698738,1.8078244297135024e-4,0.10604630277675982,0.1587518360793999,0.10155310177616053,693,233.71347799999978
Colombia,Adolescent,Cauca,0.27091501426536474,0.03945588674163269,0.0015567669985685462,0.19358289727367328,0.3482471312570562,0.1456393505861035,160,157.00650299999992
Colombia,Young Adult,Cauca,0.17549896045676874,0.01600977973703005,2.5631304722821796e-4,0.1441203687717707,0.20687755214176679,0.09122435651676578,810,788.9012940000014
Colombia,Adolescent,Cesar,0.38955482089730314,0.03988276313788889,0.0015906347955129488,0.3113860415430993,0.467723600251507,0.10238036085915371,136,107.99125500000005
Colombia,Young Adult,Cesar,0.1675325247931427,0.012965115480823056,1.6809421943107767e-4,0.14212136539532683,0.1929436841909586,0.07738864734970993,745,619.359358
Colombia,Adolescent,Choco,0.41523239412115737,0.034653958995459595,0.001200896874058995,0.34731188256832873,0.483152905673986,0.08345678103656863,217,75.699118
Colombia,Young Adult,Choco,0.27001435805320084,0.02364232424473192,5.589594956930388e-4,0.22367625402270816,0.3163524620836935,0.08755950763208556,859,296.5722400000009
Colombia,Adolescent,Cordoba,0.31538507328071136,0.04442170581559425,0.0019732879475672003,0.22832012975031318,0.40245001681110953,0.14084910662863334,126,141.14723800000002
Colombia,Young Adult,Cordoba,0.20568777132907728,0.01587507335702315,2.5201795409086626e-4,0.17457319929738055,0.23680234336077402,0.07718044322442884,801,940.040006999999
Colombia,Adolescent,Cundinamarca,0.31690606072675437,0.04937040371517208,0.0024374367629990774,0.22014184754281463,0.4136702739106941,0.15578876466405192,129,255.04099799999992
Colombia,Young Adult,Cundinamarca,0.14995842766680822,0.014862347885520096,2.2088938467022367e-4,0.12082876108548382,0.17908809424813263,0.09910978740416419,840,1579.8271340000006
Colombia,Adolescent,Guainia,0.47611572503409333,0.06637754969484179,0.004405979103491191,0.3460181182501858,0.6062133318180009,0.13941473932642884,111,4.741445999999996
Colombia,Young Adult,Guainia,0.2813426481455592,0.04116775009517086,0.0016947836478984405,0.20065534063447896,0.3620299556566394,0.14632602048258167,521,19.73258600000004
Colombia,Adolescent,Guaviare,0.23155145050789117,0.03776701285496915,0.0014263472599874048,0.15752946550849042,0.3055734355072919,0.16310419464930997,154,7.976413000000001
Colombia,Young Adult,Guaviare,0.11870905469490158,0.015265973710554225,2.3304995333133275e-4,0.08878829603328,0.14862981335652314,0.12859990966813656,646,33.22755799999989
Colombia,Adolescent,Huila,0.24225865397932095,0.03961825276875037,0.0015696059524485963,0.16460830542216598,0.3199090025364759,0.16353699699880342,123,107.28295799999992
Colombia,Young Adult,Huila,0.210177307454014,0.020320251916091527,4.1291263793342135e-4,0.1703503455416936,0.2500042693663344,0.09668147414314707,717,702.7456950000009
Colombia,Adolescent,La Guajira,0.43032390943559695,0.043704888876744875,0.001910117311728618,0.3446639012888518,0.5159839175823421,0.1015627714808299,132,67.13503100000001
Colombia,Young Adult,La Guajira,0.26065229349943053,0.019855583379882302,3.942441913554583e-4,0.22173606518282915,0.2995685218160319,0.07617651513174076,756,428.86952000000036
Colombia,Adolescent,Magdalena,0.42427218441461517,0.049752270682951724,0.002475288438109698,0.32675952572694184,0.5217848431022886,0.1172649834482948,126,112.53702400000002
Colombia,Young Adult,Magdalena,0.2027982067266882,0.018493146001036374,3.4199644901564764e-4,0.16655230660381598,0.2390441068495604,0.09118988919837762,765,688.6854290000001
Colombia,Adolescent,Meta,0.2623163786119441,0.03902897756919151,0.0015232610900964543,0.18582098822290716,0.3388117690009811,0.14878589654109534,135,90.94174799999996
Colombia,Young Adult,Meta,0.14650998084991138,0.015091904683106463,2.277655869639708e-4,0.11693039121291134,0.1760895704869114,0.10300939632615884,773,547.3384580000004
Colombia,Adolescent,Narimo,0.33264074290711915,0.05018452681881186,0.0025184867320280466,0.2342808777610635,0.4310006080531748,0.15086704767498826,111,127.73494499999998
Colombia,Young Adult,Narimo,0.12451972191103598,0.013160348175874168,1.7319476411023455e-4,0.09872591346231523,0.15031353035975675,0.10568886577884164,763,891.6271839999995
Colombia,Adolescent,Norte de Santander,0.3151211259104766,0.04385463790419055,0.0019232292657076666,0.22916761506321803,0.40107463675773514,0.13916755906949033,158,145.65541700000014
Colombia,Young Adult,Norte de Santander,0.16388243149432943,0.014418238843210064,2.0788561133985148e-4,0.13562320264114128,0.1921416603475176,0.08797916110799806,930,857.7586609999992
Colombia,Adolescent,Putumayo,0.24576914056303473,0.04398896428119687,0.001935028978532414,0.15955235485467,0.33198592627139945,0.1789848968850286,127,46.63674200000005
Colombia,Young Adult,Putumayo,0.15876276191541253,0.025265961174731236,6.383687940830263e-4,0.109242387978152,0.20828313585267305,0.15914286744515524,650,219.44393999999969
Colombia,Adolescent,Quindio,0.20824063550857602,0.029202715268883614,8.527985790754882e-4,0.15100436533078623,0.2654769056863658,0.14023543098379063,178,63.791051000000074
Colombia,Young Adult,Quindio,0.09481779583048917,0.010009156904336654,1.0018322193563011e-4,0.07520020878237892,0.11443538287859943,0.10556200781370785,915,345.969579999999
Colombia,Adolescent,Risaralda,0.20287845769851953,0.03476155172770193,0.001208365478517697,0.1347470682654977,0.27100984713154136,0.17134175861765533,161,104.79445300000008
Colombia,Young Adult,Risaralda,0.12505445873988108,0.013099481162812343,1.7159640673487542e-4,0.09937994744460803,0.15072897003515412,0.10475021278577404,862,559.7379790000006
Colombia,Adolescent,San Andres y Providencia,0.2982152068845047,0.05044265761066281,0.0025444617068265583,0.1993494146831204,0.397080999085889,0.1691485090168412,89,5.429816999999997
Colombia,Young Adult,San Andres y Providencia,0.14806219742564095,0.01551058396335897,2.4057821488440847e-4,0.11766201147827285,0.17846238337300904,0.10475721847332854,699,41.230774000000096
Colombia,Adolescent,Santander,0.28027365725724357,0.04281088037977813,0.001832771478891672,0.19636587356642604,0.3641814409480611,0.15274671475987134,145,200.27870100000013
Colombia,Young Adult,Santander,0.11410298824011442,0.013679226413057447,1.871212352596885e-4,0.0872921971341528,0.14091377934607602,0.11988490944927184,931,1279.752347000002
Colombia,Adolescent,Sucre,0.38319418427299673,0.041383641720997726,0.0017126058020919036,0.30208373695073204,0.4643046315952614,0.10799652870387778,156,82.21555100000008
Colombia,Young Adult,Sucre,0.21591858491494706,0.017294461674139613,2.9909840459828394e-4,0.18202206290162515,0.24981510692826897,0.08009714254542799,851,474.44888099999974
Colombia,Adolescent,Tolima,0.287436371995097,0.043408859778954645,0.0018843291073089464,0.20235657021839656,0.37251617377179735,0.1510207614911557,125,135.333687
Colombia,Young Adult,Tolima,0.17560879105403504,0.0148935818774488,2.2181878114027135e-4,0.14641790697343696,0.20479967513463312,0.08481114064993493,696,816.285689
Colombia,Adolescent,Valle,0.2920609225615341,0.026477118773025714,7.010378185209107e-4,0.24016672335201436,0.3439551217710538,0.09065614989094363,367,500.89010099999985
Colombia,Young Adult,Valle,0.13766497871542765,0.009929697618763961,9.859889480008668e-5,0.11820312900527716,0.15712682842557815,0.07212943852110713,1877,2780.6302850000106
Colombia,Adolescent,Vaupes,0.6626560883757341,0.08218721998185312,0.0067547391283455166,0.5015720972218314,0.8237400795296368,0.1240269597210008,129,4.372602999999999
Colombia,Young Adult,Vaupes,0.39676493424999726,0.035602545586962873,0.0012675412522717695,0.3269852271416046,0.4665446413583899,0.08973208697049347,615,16.83817399999998
Colombia,Adolescent,Vichada,0.27875112732440205,0.058281516612869094,0.003396735178696136,0.16452145379880584,0.39298080084999826,0.20908082838008704,121,5.252480999999992
Colombia,Young Adult,Vichada,0.17250857801188746,0.023341183325389602,5.448108390294456e-4,0.126760699337577,0.21825645668619792,0.13530447931569625,604,30.116826999999898
Honduras,Adolescent,ATLANTIDA,0.22913810861873218,0.0440190405412749,0.0019376759301744035,0.1428623745238249,0.3154138427136395,0.19210702578731295,129,80.09157941074554
Honduras,Young Adult,ATLANTIDA,0.1810285491974564,0.019103295306795033,3.6493589157861713e-4,0.1435867784101051,0.2184703199848077,0.10552642327127179,672,388.3904360755027
Honduras,Adolescent,CHOLUTECA,0.22105100994306706,0.04232906673231039,0.0017917498904283862,0.13808756364854619,0.30401445623758794,0.1914900399831355,130,63.93071636319112
Honduras,Young Adult,CHOLUTECA,0.1879828127159966,0.02071904456420081,4.292788076533391e-4,0.14737423157608265,0.22859139385591054,0.11021776014971661,724,371.8974088715127
Honduras,Adolescent,COLON,0.30258891672216853,0.043108085436995805,0.0018583070300433298,0.21809862182318118,0.3870792116211559,0.14246419169601257,174,80.15426108812444
Honduras,Young Adult,COLON,0.24832942262692595,0.024343363135162326,5.925993287303801e-4,0.20061730761942775,0.29604153763442415,0.09802850937939085,639,285.5373904678485
