"","ATLANTIDA | Adolescent | 2011-12","CHOLUTECA | Adolescent | 2011-12","COLON | Adolescent | 2011-12","COMAYAGUA | Adolescent | 2011-12","COPAN | Adolescent | 2011-12","CORTES | Adolescent | 2011-12","EL PARAISO | Adolescent | 2011-12","FRANCISCO MORAZAN | Adolescent | 2011-12","GRACIAS A DIOS | Adolescent | 2011-12","INTIBUCA | Adolescent | 2011-12","ISLAS DE LA BAHIA | Adolescent | 2011-12","LA PAZ | Adolescent | 2011-12","LEMPIRA | Adolescent | 2011-12","OCOTEPEQUE | Adolescent | 2011-12","OLANCHO | Adolescent | 2011-12","SANTA BARBARA | Adolescent | 2011-12","VALLE | Adolescent | 2011-12","YORO | Adolescent | 2011-12","ATLANTIDA | Young_Adult | 2011-12","CHOLUTECA | Young_Adult | 2011-12","COLON | Young_Adult | 2011-12","COMAYAGUA | Young_Adult | 2011-12","COPAN | Young_Adult | 2011-12","CORTES | Young_Adult | 2011-12","EL PARAISO | Young_Adult | 2011-12","FRANCISCO MORAZAN | Young_Adult | 2011-12","GRACIAS A DIOS | Young_Adult | 2011-12","INTIBUCA | Young_Adult | 2011-12","ISLAS DE LA BAHIA | Young_Adult | 2011-12","LA PAZ | Young_Adult | 2011-12","LEMPIRA | Young_Adult | 2011-12","OCOTEPEQUE | Young_Adult | 2011-12","OLANCHO | Young_Adult | 2011-12","SANTA BARBARA | Young_Adult | 2011-12","VALLE | Young_Adult | 2011-12","YORO | Young_Adult | 2011-12","ATLANTIDA | Adolescent | 2019","CHOLUTECA | Adolescent | 2019","COLON | Adolescent | 2019","COMAYAGUA | Adolescent | 2019","COPAN | Adolescent | 2019","CORTES | Adolescent | 2019","EL PARAISO | Adolescent | 2019","FRANCISCO MORAZAN | Adolescent | 2019","GRACIAS A DIOS | Adolescent | 2019","INTIBUCA | Adolescent | 2019","ISLAS DE LA BAHIA | Adolescent | 2019","LA PAZ | Adolescent | 2019","LEMPIRA | Adolescent | 2019","OCOTEPEQUE | Adolescent | 2019","OLANCHO | Adolescent | 2019","SANTA BARBARA | Adolescent | 2019","VALLE | Adolescent | 2019","YORO | Adolescent | 2019","ATLANTIDA | Young_Adult | 2019","CHOLUTECA | Young_Adult | 2019","COLON | Young_Adult | 2019","COMAYAGUA | Young_Adult | 2019","COPAN | Young_Adult | 2019","CORTES | Young_Adult | 2019","EL PARAISO | Young_Adult | 2019","FRANCISCO MORAZAN | Young_Adult | 2019","GRACIAS A DIOS | Young_Adult | 2019","INTIBUCA | Young_Adult | 2019","ISLAS DE LA BAHIA | Young_Adult | 2019","LA PAZ | Young_Adult | 2019","LEMPIRA | Young_Adult | 2019","OCOTEPEQUE | Young_Adult | 2019","OLANCHO | Young_Adult | 2019","SANTA BARBARA | Young_Adult | 2019","VALLE | Young_Adult | 2019","YORO | Young_Adult | 2019"
"COMAYAGUA | Young_Adult | 2011-12",0,0,0,0.00137085253836024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187309720268821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPAN | Young_Adult | 2011-12",0,0,0,0,-0.00495282159257875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175964722980268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORTES | Young_Adult | 2011-12",0,0,0,0,0,-0.000477868546661243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874906405574354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL PARAISO | Young_Adult | 2011-12",0,0,0,0,0,0,-0.00278560564321406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163768256817638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRANCISCO MORAZAN | Young_Adult | 2011-12",0,0,0,0,0,0,0,0.00387512397623048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109741578946807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRACIAS A DIOS | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,-0.00709219029893473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251601887090923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INTIBUCA | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,-0.00287078842611993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340271848903504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISLAS DE LA BAHIA | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0.0228948957863433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551274291694985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA PAZ | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0.000133233668454079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174324961117329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEMPIRA | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0,0.012399285778722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234049785771284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCOTEPEQUE | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065859375437244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228908053038947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OLANCHO | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276574753382633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138356028622166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANTA BARBARA | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462098739915489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120851579402939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VALLE | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008905517128576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158929827311843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YORO | Young_Adult | 2011-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00358505133777755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217430357351048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATLANTIDA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141081443097671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00507135688667954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHOLUTECA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095417630702444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00645948267132189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COLON | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857697706291325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677505811586078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMAYAGUA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145320197477694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00198295953088828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPAN | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174167510106073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00635067402872158,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORTES | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704032528037539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00172512218232177,0,0,0,0,0,0,0,0,0,0,0,0
"EL PARAISO | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748937708474315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163197455737392,0,0,0,0,0,0,0,0,0,0,0
"FRANCISCO MORAZAN | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937030974093536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000227472952125983,0,0,0,0,0,0,0,0,0,0
"GRACIAS A DIOS | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909194698516552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182747882197779,0,0,0,0,0,0,0,0,0
"INTIBUCA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101818588513111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226207889643321,0,0,0,0,0,0,0,0
"ISLAS DE LA BAHIA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170742645103722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00758397331418125,0,0,0,0,0,0,0
"LA PAZ | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730210884965855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003413832290574,0,0,0,0,0,0
"LEMPIRA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248750506877701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00890316107286959,0,0,0,0,0
"OCOTEPEQUE | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181245876217733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026530922420042,0,0,0,0
"OLANCHO | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512250866062002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00319595614573088,0,0,0
"SANTA BARBARA | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195733944991112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157514432213033,0,0
"VALLE | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17481433313946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00242384375859751,0
"YORO | Adolescent | 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635821849438467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00089891748984297
