survey_year,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
2010,Young Adult,Boyaca,0.1321274050434378,0.015695392542574967,2.463453470655179e-4,0.10136500093677234,0.1628898091501033,0.11878983423170232,428,444.0339759999991
2010,Adolescent,Caldas,0.1705106321008578,0.03912766403979485,0.0015309740932110548,0.09382181978367692,0.24719944441803865,0.22947345604027003,118,74.41469099999993
2010,Young Adult,Caldas,0.08481145269968292,0.015436673692889202,2.3829089470073757e-4,0.05455612822052318,0.11506677717884266,0.1820116647164436,517,333.52527400000247
2010,Adolescent,Caqueta,0.40473066517786044,0.06543435066964683,0.00428165424755831,0.27648169451358834,0.5329796358421326,0.1616738149576372,89,24.972132999999992
2010,Young Adult,Caqueta,0.1923929264443267,0.02554619082860747,6.526078658516285e-4,0.14232331247806865,0.24246254041058476,0.13278134129323016,387,110.93198900000061
2010,Adolescent,Casanare,0.33374349580935003,0.044372121255022094,0.0019688851446703834,0.24677573623186255,0.4207112553868375,0.13295276705667858,83,25.582544999999975
2010,Young Adult,Casanare,0.1638499459359829,0.018812656307944323,3.539160373608373e-4,0.12697781711888179,0.200722074753084,0.11481637177527379,410,127.69861400000013
2010,Adolescent,Cauca,0.3217889876127937,0.0501325958313086,0.0025132771647853403,0.223530905331926,0.42004706989366136,0.1557933856071942,89,91.37491999999995
2010,Young Adult,Cauca,0.189887650923194,0.0229379301620303,5.261486401181794e-4,0.14493013392571963,0.2348451679206684,0.12079737703063304,426,446.8096350000016
2010,Adolescent,Cesar,0.4725824130414462,0.05708518978095415,0.003258718892327552,0.3606974970201422,0.5844673290627502,0.12079414765683989,71,61.866513
2010,Young Adult,Cesar,0.16735124875325688,0.017501351109758628,3.0629729066704954e-4,0.1330492308973399,0.20165326660917388,0.10457855104244047,394,342.561549
2010,Adolescent,Choco,0.4240062229065405,0.050065574846175034,0.002506561784677954,0.325879499342743,0.522132946470338,0.11807745297457696,102,37.47444999999999
2010,Young Adult,Choco,0.24852716010932502,0.02566741673371541,6.588162817822139e-4,0.19821994773506213,0.2988343724835879,0.1032781154479234,391,151.15611100000035
2010,Adolescent,Cordoba,0.3562962439707927,0.062176896628133776,0.0038659664743056336,0.23443176590918058,0.4781607220324048,0.17450898705861945,74,84.83930300000003
2010,Young Adult,Cordoba,0.21476088919417094,0.020915337082822914,4.374513252881073e-4,0.173767581787323,0.2557541966010189,0.09738894805894015,456,514.0188440000002
2010,Adolescent,Cundinamarca,0.3704879391134012,0.059130382786453634,0.0034964021684725324,0.25459451845988496,0.4863813597669175,0.1596013703656751,78,154.16134499999995
2010,Young Adult,Cundinamarca,0.15850150960629042,0.01696064096550675,2.876633419608257e-4,0.12525926415918254,0.1917437550533983,0.10700617935839292,477,910.4456630000006
2010,Adolescent,Guainia,0.4923569512132863,0.06911617447826826,0.004777045574510421,0.3568917384866941,0.6278221639398786,0.14037818356773338,69,1.8214589999999977
2010,Young Adult,Guainia,0.3243394219920407,0.028551159786566117,8.151687251580302e-4,0.2683801770935228,0.3802986668905586,0.08802864484128842,329,8.23646100000003
2010,Adolescent,Guaviare,0.2809788124639925,0.0559590802781108,0.0031314186655720493,0.17130103051090972,0.39065659441707523,0.19915765102495753,86,4.092877999999998
2010,Young Adult,Guaviare,0.16178375602809403,0.022738951322384376,5.170599072417661e-4,0.11721623039001122,0.20635128166617683,0.1405515107365644,348,16.226523999999916
2010,Adolescent,Huila,0.1824937978289658,0.04509954859090056,0.0020339692831030007,0.09410030687178658,0.270887288786145,0.2471292127591542,67,61.03910999999997
2010,Young Adult,Huila,0.18469881468708219,0.022562202795676924,5.090529949932516e-4,0.1404777097956665,0.22891991957849786,0.12215672761030946,415,379.12874600000043
2010,Adolescent,La Guajira,0.42338058227720915,0.061736014019740264,0.0038113354270455663,0.30238021824945843,0.5443809463049599,0.14581682912259425,71,35.53984199999997
2010,Young Adult,La Guajira,0.3063057048327993,0.0317538921261804,0.0010083096651611015,0.24406921989651573,0.3685421897690828,0.10366732197663,393,191.48170300000075
2010,Adolescent,Magdalena,0.5462170239653601,0.06715072124223219,0.004509219363351974,0.41460402879469627,0.6778300191360239,0.12293780364943503,59,52.81710700000002
2010,Young Adult,Magdalena,0.21224533710636762,0.02295661836093557,5.270063265696442e-4,0.16725119191210297,0.25723948230063226,0.10816076656341697,419,397.43079000000023
2010,Adolescent,Meta,0.3100282031080962,0.051133280532015823,0.0026146123779658284,0.20980881485396213,0.41024759136223027,0.16493106117248116,80,50.74617999999998
2010,Young Adult,Meta,0.14445123997190998,0.01773936293547526,3.146849973565135e-4,0.10968272750969374,0.17921975243412622,0.1228051966803806,452,274.8768720000002
2010,Adolescent,Narimo,0.3518023012032369,0.06465247868573552,0.004179943000209486,0.22508577146795183,0.478518830938522,0.18377503064820958,67,79.87038999999999
2010,Young Adult,Narimo,0.1328485436371902,0.018202214422085573,3.3132060986758e-4,0.09717285893102694,0.16852422834335345,0.1370147833294724,404,476.8469059999987
2010,Adolescent,Norte de Santander,0.2450113162499013,0.04693480591673189,0.0022028760064412905,0.1530207870317294,0.3370018454680732,0.1915617883904609,106,84.06937000000009
2010,Young Adult,Norte de Santander,0.17775074457357107,0.017675892182166874,3.12437164435588e-4,0.1431066325019109,0.21239485664523122,0.09944201485384394,610,489.86999300000025
2010,Adolescent,Putumayo,0.3166708124328256,0.04714096603283391,0.0022222706785088005,0.22427621681204513,0.40906540805360603,0.14886425960976046,76,26.114996000000026
2010,Young Adult,Putumayo,0.15962662590920929,0.02032371016062501,4.1305319469309235e-4,0.11979288596215351,0.19946036585626506,0.12732030164055785,398,127.69916599999995
2010,Adolescent,Quindio,0.21825787659883952,0.035827786842599095,0.001283630310038717,0.1480367047415673,0.2884790484561117,0.16415346562017086,121,43.62866600000007
2010,Young Adult,Quindio,0.09445337229251959,0.011894779072877669,1.4148576919256853e-4,0.07114003370561862,0.11776671087942055,0.1259328151465027,580,208.2945639999993
2010,Adolescent,Risaralda,0.25305358573375136,0.046355247828971116,0.0021488090012853314,0.1621989694945395,0.34390820197296323,0.18318352492243867,111,59.51765100000002
2010,Young Adult,Risaralda,0.1397799480749092,0.01431061060639402,2.04793575927837e-4,0.11173166668960004,0.1678282294602184,0.1023795673376903,563,304.62382899999983
2010,Adolescent,San Andres y Providencia,0.27048235175675406,0.06607357255565138,0.004365716990266928,0.14098052921778326,0.39998417429572486,0.2442805311566931,44,2.4534169999999986
2010,Young Adult,San Andres y Providencia,0.15905343143203007,0.01947791705878784,0.00037938925294901834,0.12087741550294759,0.19722944736111256,0.1224614702331118,378,21.575278000000075
2010,Adolescent,Santander,0.3373956384587301,0.05273100920905643,0.002780559332205594,0.2340447595405296,0.4407465173769306,0.15628835467446753,95,130.19750700000003
2010,Young Adult,Santander,0.12173769995900803,0.01765074395166554,3.115487620472577e-4,0.08714287751340538,0.15633252240461068,0.14498995756950367,555,753.4069809999999
2010,Adolescent,Sucre,0.4845757731659273,0.05405952704028757,0.0029224324638195825,0.37862104714569456,0.5905304991861601,0.11156052372799213,90,50.291986000000016
2010,Young Adult,Sucre,0.2438452900931716,0.024938415632822213,6.219245742753914e-4,0.19496689362134942,0.2927236865649938,0.10227146738529752,441,267.646855
2010,Adolescent,Tolima,0.30891050155391364,0.05281152788711459,0.002789057477771482,0.2054018089266364,0.4124191941811909,0.17096061034330837,72,82.38811199999995
2010,Young Adult,Tolima,0.16409554882333513,0.01703022122120411,2.9002843484315075e-4,0.13071692858102535,0.1974741690656449,0.10378234719540629,440,485.3099220000001
2010,Adolescent,Valle,0.32532480313769063,0.03256164891362343,0.001060260979974074,0.26150514398975094,0.3891444622856303,0.10008965993239079,222,313.87165999999957
2010,Young Adult,Valle,0.1428523713119504,0.010350241437778462,1.0712749782030637e-4,0.12256627086261054,0.16313847176129023,0.07245411009087399,1112,1555.3811460000086
2010,Adolescent,Vaupes,0.5756181359018031,0.07542147664527196,0.005688399139353304,0.4277947580162413,0.7234415137873649,0.13102692903709762,77,1.0216199999999995
2010,Young Adult,Vaupes,0.4090008390967538,0.03105192998561738,9.642223558316837e-4,0.3481401746744844,0.46986150351902317,0.07592143344789494,333,5.159118999999995
2010,Adolescent,Vichada,0.26739210718232465,0.07849579391632293,0.006161589662553839,0.11354317816845347,0.4212410361961958,0.29356062429621227,65,3.539090999999996
2010,Young Adult,Vichada,0.1814558870247331,0.031860988415581,0.0010151225828177867,0.11900949721834647,0.2439022768311197,0.17558531132824715,347,21.096581999999888
2015,Adolescent,Amazonas,0.535858430853352,0.11829887551002372,0.013994623946936088,0.3039968954421182,0.7677199662645859,0.22076516613097474,43,3.114916
2015,Young Adult,Amazonas,0.2889123898451914,0.04497050078300345,0.0020223459406741137,0.20077182794377438,0.37705295174660847,0.15565445568845315,277,23.210403000000007
2015,Adolescent,Antioquia,0.19091786870036104,0.032027753454516986,0.0010257769913433246,0.12814462542377947,0.2536911119769426,0.16775670958690322,176,275.95676800000007
2015,Young Adult,Antioquia,0.10586331832195157,0.012917883124553116,1.6687170441961416e-4,0.08054473264132973,0.1311819040025734,0.12202416596528028,872,1700.9366970000005
2015,Adolescent,Arauca,0.2484773895934731,0.07234884173798763,0.005234354900828381,0.10667626546382913,0.39027851372311706,0.29116871300183705,52,17.911509000000002
2015,Young Adult,Arauca,0.10830907419797954,0.019040716712431786,3.6254889292307914e-4,0.07098995520178336,0.14562819319417572,0.17579982890101173,234,60.586798
2015,Adolescent,Atlantico,0.43120564019313606,0.06210855180018735,0.0038574722067165556,0.3094751155328286,0.5529361648534435,0.14403464614323938,79,92.88433700000004
2015,Young Adult,Atlantico,0.1642187486618352,0.018177912094556038,3.3043648811740666e-4,0.1285906956423703,0.1998468016813001,0.11069328102108858,482,665.4402490000001
2015,Adolescent,Bogota,0.22816702170846956,0.046527227227552134,0.0021647828734842685,0.136975332041956,0.3193587113749831,0.20391740611401882,124,209.310564
2015,Young Adult,Bogota,0.0793061869914062,0.014433735050776636,2.08332707516018e-4,0.05101658612949059,0.1075957878533218,0.1820001137154748,737,2008.340723999999
2015,Adolescent,Bolivar,0.3455762867033376,0.061785087405519086,0.0038173970257076332,0.22447974060686096,0.4666728327998143,0.17878856212885616,80,94.729975
2015,Young Adult,Bolivar,0.15230930805064472,0.021001778347130202,4.41074693741987e-4,0.11114657887897639,0.19347203722231304,0.1378890011117827,465,561.7039699999993
2015,Adolescent,Boyaca,0.22080168926207755,0.06976732745531343,0.004867479980256931,0.08406024015205077,0.35754313837210433,0.31597279752920754,40,37.283972
