country,level,region,survey,p_mean,p_q025,p_q975,estimate_95cri
Colombia,region,Cundinamarca,2015,0.2603049346400008,0.196737972,0.33154398949999997,26.0% (19.7–33.2)
Colombia,region,Choco,2015,0.3980287964199989,0.34078948475000004,0.4557530970000001,39.8% (34.1–45.6)
Colombia,region,Huila,2015,0.24604229004000008,0.19110718550000003,0.3077659035,24.6% (19.1–30.8)
Colombia,region,La Guajira,2015,0.3569179594849988,0.29260610975,0.4256901905,35.7% (29.3–42.6)
Colombia,region,Magdalena,2015,0.33120039484250063,0.26649716549999997,0.4035697015,33.1% (26.6–40.4)
Colombia,region,Meta,2015,0.2514548143124995,0.19637340475,0.312067921,25.1% (19.6–31.2)
Colombia,region,Narimo,2015,0.24863659113750028,0.19060789675,0.3132887605,24.9% (19.1–31.3)
Colombia,region,Norte de Santander,2015,0.25938601203999956,0.20120022575,0.32401177825,25.9% (20.1–32.4)
Colombia,region,Quindio,2015,0.20736332306500005,0.1621707825,0.25867857425,20.7% (16.2–25.9)
Colombia,region,Risaralda,2015,0.19409668678000008,0.14795557875,0.245410724,19.4% (14.8–24.5)
Colombia,region,Santander,2015,0.2545072554674999,0.196002574,0.31998955475,25.5% (19.6–32.0)
Colombia,region,Sucre,2015,0.3451684216675006,0.28362087725,0.41112417275,34.5% (28.4–41.1)
Colombia,region,Tolima,2015,0.25986776117250043,0.20107820075,0.32362208775000006,26.0% (20.1–32.4)
Colombia,region,Valle,2015,0.2299815610525,0.191766523,0.27352021849999997,23.0% (19.2–27.4)
Colombia,region,Arauca,2015,0.27934651381499986,0.207452776,0.35966627500000004,27.9% (20.7–36.0)
Colombia,region,Casanare,2015,0.26890283720250063,0.2131911165,0.32938631075,26.9% (21.3–32.9)
Colombia,region,Putumayo,2015,0.2423323726649992,0.187499017,0.30419316599999996,24.2% (18.7–30.4)
Colombia,region,San Andres y Providencia,2015,0.31609279405249985,0.24618392125,0.39541098025,31.6% (24.6–39.5)
Colombia,region,Amazonas,2015,0.43819197095750057,0.356873641,0.52659211575,43.8% (35.7–52.7)
Colombia,region,Guainia,2015,0.3395784907,0.26529767,0.42139169975,34.0% (26.5–42.1)
Colombia,region,Guaviare,2015,0.2240199562649998,0.16730414524999998,0.28641673375,22.4% (16.7–28.6)
Colombia,region,Vaupes,2015,0.4747781355224993,0.37256727925,0.5774819172500001,47.5% (37.3–57.7)
Colombia,region,Vichada,2015,0.24033932275750056,0.18319018,0.30492878325,24.0% (18.3–30.5)
Colombia,national_total,NA,2005,0.39665553962250005,0.35795893225,0.43629291225000005,39.7% (35.8–43.6)
Colombia,national_total,NA,2010,0.35361819435500047,0.31849896775,0.3901019815,35.4% (31.8–39.0)
Colombia,national_total,NA,2015,0.2782133962849995,0.2433114115,0.31353295975,27.8% (24.3–31.4)
