variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
s_star[23],-1.3433500157786017e-5,-9.963375800000001e-6,0.0026654616537621465,0.00263612766375,-0.00437557931,0.004281357399999999,1.000761494682101,1527.3744991544677,2409.688833952647
s_star[24],-9.113989953399776e-6,-1.52302075e-5,0.003146892339596311,0.00305458217337,-0.005183668735,0.005149656459999999,1.0009024915409894,1713.0139685340248,2855.2344820202657
s_star[25],-2.1390250527600056e-5,-4.1109397e-5,0.0037522134956488058,0.0037718517477899993,-0.00620887507,0.006138857929999997,1.0011479003068449,2874.9697783592933,3109.094912870157
s_star[26],-9.03546384583464e-6,-2.01666885e-5,0.0030419059750581333,0.00303613699851,-0.005123055645,0.0050528463449999944,1.0010785665516968,2808.029253022567,2977.8891749102195
s_star[27],9.967174577065e-5,5.5871511999999995e-5,0.0038495865985039416,0.0038810010741011994,-0.006142709615,0.006439763639999998,1.000479684474225,1429.8013943967364,1871.8504256576232
s_star[28],1.0393635463599993e-4,7.84051055e-6,0.004151297679216886,0.00411010753083,-0.006617103304999999,0.007103570679999992,1.0009929816737033,1437.2069262028167,2353.7436593210314
s_star[29],6.891025024250004e-5,1.3863689499999998e-4,0.004109941942500934,0.0040645991238299995,-0.006731904370000001,0.006844537534999989,1.0023613686089927,1696.006239795771,2249.5101618305266
s_star[30],6.714411799379013e-5,2.936953e-5,0.0033486420026424034,0.003289331986878,-0.005283642264999999,0.005732408864999999,1.0025781935658398,1441.7108796314872,2388.826771491431
s_star[31],1.1212569891740014e-4,8.365986499999999e-5,0.0038146359673709865,0.003821508373221,-0.006145770375,0.006410804879999999,1.0020443555407412,1421.0602903116005,2328.999579506465
s_star[32],3.562175345811013e-5,6.46806105e-5,0.0032803416548219887,0.0032136156500973,-0.005552040595,0.005452667244999999,1.0013600894481698,1934.8313312223881,2857.766870159679
b[1],-0.302391550247054,-0.30098579000000003,0.1281391406634915,0.124742961735,-0.5151554964999999,-0.09177599275000005,1.0021817850558226,1804.879336948163,2289.225803435725
b[2],0.50713786680175,0.504039055,0.15138702336326063,0.15344895173999995,0.2651220655,0.7637502995,1.0007829804705082,2521.30060201212,3032.4889788834494
b[3],-0.334086506790075,-0.333370665,0.1340796812053397,0.13450055278799997,-0.5540693675,-0.11704993550000004,1.0006199303355803,1995.269604213534,2307.726129896023
b[4],0.211469801108328,0.211507355,0.15651269319448918,0.155262512538,-0.04844765664999999,0.470082749,1.000260993910638,2771.563030044251,2726.640646876421
b[5],-0.237437344377448,-0.23552128,0.1819111870924307,0.176165267397,-0.5351346195,0.06479296959999992,1.0011699536960599,3019.0629783086997,2716.348821888051
b[6],-0.641330441653425,-0.63666104,0.19440002802598147,0.195820933266,-0.9715246275,-0.32754679000000037,0.9998044606646073,3368.085092270992,2957.568387219023
b[7],-0.06056685852409525,-0.06022519,0.15483303028237003,0.155252000904,-0.31713780399999997,0.18924223049999994,1.0008743888815324,2861.356781684093,3076.129012491806
b[8],-0.11164280031890492,-0.106450745,0.14715956796949506,0.14562202924206,-0.36073653400000005,0.12908868299999998,1.0010121640418645,2399.7076061511707,2674.5787414836263
